CEL_File,GES_Project,GES_Batch,Sex,Use_for_analysis,Sample_Name,Old_Name,MGI_ID,JAX_ID,KStest_D,Autosomal_A_Freq,Autosomal_B_Freq,Autosomal_H_Freq,Autosomal_V_Freq,Autosomal_N_Freq,G2F1_Study,VINO_Paper_Set,HDMI_paper,wild_mice,G2_F1,AXB_BXA,BXD,LXS,A_J_consomics,MSM_consomics,PWD_consomic,Classical,Outbred,F1,Replicated,Wild_derived,NotMusMusculus,NotMusMusculus_1
SNP_mDIV_C4-SNP11_069_031711,11MA-001.gac,1,M,0,C57BL/6J-Chr 17<PWD/Ph>/ForeJ,C57BL/6J-Chr17/ForeJ,MGI:3497728,5267,0.02,94%,1%,5%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SNP_mDIV_C5-SNP11_070_031711,11MA-001.gac,1,M,0,C57BL/6J-Chr X.1<PWD/Ph>/ForeJ,C57BL/6J-ChrX.1/ForeJ,#N/A,5762,0.02,96%,0%,4%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SNP_mDIV_C6-SNP11_071_031711,11MA-001.gac,1,M,0,C57BL/6J-Chr X.3<PWD/Ph>/ForeJ,C57BL/6J-ChrX.3/ForeJ,#N/A,6227,0.01,96%,0%,4%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SNP_mDIV_C7-SNP11_072_031711,11MA-001.gac,1,M,0,C57BL/6J-mt<PWD/Ph>/ForeJ,C57BL/6J-ChrMT/ForeJ,MGI:3640207,#N/A,0.01,96%,0%,4%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SNP_mDIV_C8-SNP11_073_031711,11MA-001.gac,1,M,1,C57BL/6J,C57BL/6J,MGI:3028467,664,0.02,96%,0%,4%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_C9-SNP11_074_031711,11MA-001.gac,1,M,1,PWD/PhJ,PWD,MGI:2163136,4660,0.01,48%,42%,8%,1.8%,0.6%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_C10-SNP11_075_031711,11MA-001.gac,1,M,0,(PWD x C57BL/6J)F1,(PWDxB6)F1-011m,#N/A,#N/A,0.05,56%,3%,40%,0.1%,0.7%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SNP_mDIV_C11-SNP11_076_031711,11MA-001.gac,1,M,0,(C57BL/6J x PWD)F1,(B6xPWD)F1-001m,#N/A,#N/A,0.04,56%,3%,40%,0.1%,0.6%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SNP_mDIV_A5-359_040711,11MA-001.gac,2,M,0,BXD51/RwwJ,BxD51,MGI:3706378,7100,0.01,86%,10%,4%,0.1%,0.0%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_A6-518_040711,11MA-001.gac,2,M,0,ILSXISS10/TejJ,LxS10m,MGI:3836016,#N/A,0.01,74%,15%,11%,0.2%,0.1%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_A7-548_040711,11MA-001.gac,2,M,0,ILSXISS68/TejJ,LxS68m,MGI:3836032,#N/A,0.01,75%,15%,10%,0.1%,0.1%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_A8-SNP09_418_040711,11MA-001.gac,2,M,0,AXB1/PgnJ,AxB-1 #16318,MGI:2163568,#N/A,0.02,87%,9%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SNP_mDIV_A9-SNP11_079_040711,11MA-001.gac,2,M,0,(C57BL/6J x A/J)F1,B6AF1/J ,#N/A,100002,0.01,77%,1%,22%,0.0%,0.2%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_A10-SNP11_080_040711,11MA-001.gac,2,M,1,A/J,A/J ,MGI:2159747,646,0.02,76%,20%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_A11-SNP11_081_040711,11MA-001.gac,2,M,1,C57BL/6J,C57BL/6J ,MGI:3028467,664,0.03,96%,0%,4%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_B1-SNP11_082_040711,11MA-001.gac,2,M,0,A/J-Chr Y<C57BL/6J>/NaJ,A/J-Chr YC57BL/6J/NaJ ,MGI:3575523,5546,0.02,76%,20%,4%,0.1%,0.0%,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SNP_mDIV_B2-SNP11_083_040711,11MA-001.gac,2,M,0,C57BL/6J-Chr 10<A/J>/NaJ,C57BL/6J-Chr 10A/J/NaJ ,MGI:2165807,4388,0.02,95%,1%,4%,0.0%,0.0%,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SNP_mDIV_B3-SNP11_084_040711,11MA-001.gac,2,M,0,C57BL/6J-Chr 11<A/J>/NaJ,C57BL/6J-Chr 11A/J/NaJ ,MGI:2165808,4389,0.02,95%,2%,4%,0.0%,0.0%,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SNP_mDIV_B4-SNP11_085_040711,11MA-001.gac,2,M,0,C57BL/6J-Chr 12<A/J>/NaJ,C57BL/6J-Chr 12A/J/NaJ ,MGI:2165809,4390,0.02,95%,2%,4%,0.0%,0.0%,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SNP_mDIV_B5-SNP11_086_040711,11MA-001.gac,2,M,0,C57BL/6J-Chr 13<A/J>/NaJ,C57BL/6J-Chr 13A/J/NaJ ,MGI:2165810,4391,0.02,95%,2%,4%,0.0%,0.0%,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SNP_mDIV_B6-SNP11_087_040711,11MA-001.gac,2,M,0,C57BL/6J-Chr 14<A/J>/NaJ,C57BL/6J-Chr 14A/J/NaJ ,MGI:2165811,4392,0.01,95%,1%,4%,0.0%,0.0%,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SNP_mDIV_B7-SNP11_088_040711,11MA-001.gac,2,M,0,C57BL/6J-Chr 15<A/J>/NaJ,C57BL/6J-Chr 15A/J/NaJ ,MGI:2165812,4393,0.03,95%,1%,4%,0.0%,0.0%,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SNP_mDIV_B8-SNP11_089_040711,11MA-001.gac,2,M,0,C57BL/6J-Chr 16<A/J>/NaJ,C57BL/6J-Chr 16A/J/NaJ ,MGI:2165813,4394,0.02,95%,1%,4%,0.0%,0.0%,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SNP_mDIV_B9-SNP11_090_040711,11MA-001.gac,2,M,0,C57BL/6J-Chr 17<A/J>/NaJ,C57BL/6J-Chr 17A/J/NaJ ,MGI:2165814,4395,0.02,95%,1%,4%,0.0%,0.0%,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SNP_mDIV_B10-SNP11_091_040711,11MA-001.gac,2,M,0,C57BL/6J-Chr 18<A/J>/NaJ,C57BL/6J-Chr 18A/J/NaJ ,MGI:2165815,4396,0.03,95%,1%,4%,0.0%,0.1%,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SNP_mDIV_B11-SNP11_092_040711,11MA-001.gac,2,M,0,C57BL/6J-Chr 19<A/J>/NaJ,C57BL/6J-Chr 19A/J/NaJ ,MGI:2165816,4397,0.02,95%,1%,4%,0.0%,0.0%,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SNP_mDIV_C1-SNP11_093_040711,11MA-001.gac,2,M,0,C57BL/6J-Chr 1<A/J>/NaJ,C57BL/6J-Chr 1A/J/NaJ ,MGI:2165806,4379,0.02,94%,2%,4%,0.0%,0.0%,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SNP_mDIV_C2-SNP11_094_040711,11MA-001.gac,2,M,0,C57BL/6J-Chr 2<A/J>/NaJ,C57BL/6J-Chr 2A/J/NaJ ,MGI:2165817,4380,0.02,94%,2%,4%,0.0%,0.0%,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SNP_mDIV_C3-SNP11_095_040711,11MA-001.gac,2,M,0,C57BL/6J-Chr 3<A/J>/NaJ,C57BL/6J-Chr 3A/J/NaJ ,MGI:2165818,4381,0.02,94%,2%,4%,0.0%,0.0%,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SNP_mDIV_C4-SNP11_096_040711,11MA-001.gac,2,M,0,C57BL/6J-Chr 4<A/J>/NaJ,C57BL/6J-Chr 4A/J/NaJ ,MGI:2165819,4382,0.02,94%,2%,4%,0.0%,0.0%,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SNP_mDIV_C5-SNP11_097_040711,11MA-001.gac,2,M,0,C57BL/6J-Chr 5<A/J>/NaJ,C57BL/6J-Chr 5A/J/NaJ ,MGI:2165820,4383,0.01,95%,1%,4%,0.0%,0.0%,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SNP_mDIV_C6-SNP11_098_040711,11MA-001.gac,2,M,0,C57BL/6J-Chr 6<A/J>/NaJ,C57BL/6J-Chr 6A/J/NaJ ,MGI:2165821,4384,0.01,95%,2%,4%,0.0%,0.0%,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SNP_mDIV_C7-SNP11_099_040711,11MA-001.gac,2,M,0,C57BL/6J-Chr 7<A/J>/NaJ,C57BL/6J-Chr 7A/J/NaJ ,MGI:2165822,4385,0.01,95%,1%,4%,0.0%,0.0%,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SNP_mDIV_C8-SNP11_100_040711,11MA-001.gac,2,M,0,C57BL/6J-Chr 8<A/J>/NaJ,C57BL/6J-Chr 8A/J/NaJ ,MGI:2165823,4386,0.02,95%,2%,4%,0.0%,0.0%,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SNP_mDIV_C9-SNP11_101_040711,11MA-001.gac,2,M,0,C57BL/6J-Chr 9<A/J>/NaJ,C57BL/6J-Chr 9A/J/NaJ ,MGI:2165824,4387,0.02,95%,2%,4%,0.0%,0.0%,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SNP_mDIV_C10-SNP11_102_040711,11MA-001.gac,2,M,0,C57BL/6J-Chr X<A/J>/NaJ,C57BL/6J-Chr XA/J/NaJ ,MGI:2165890,4398,0.02,96%,0%,4%,0.0%,0.0%,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SNP_mDIV_C11-SNP11_103_040711,11MA-001.gac,2,M,0,C57BL/6J-Chr Y<129S1/SvImJ>/NaJ,C57BL/6J-Chr Y129S1/SvImJ/NaJ ,MGI:3575521,5547,0.02,96%,0%,4%,0.0%,0.0%,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SNP_mDIV_C12-SNP11_104_040711,11MA-001.gac,2,M,0,C57BL/6J-Chr Y<A/J>/NaJ,C57BL/6J-Chr YA/J/NaJ ,MGI:2165891,4399,0.02,96%,0%,4%,0.0%,0.0%,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SNP_mDIV_D1-SNP11_105_040711,11MA-001.gac,2,M,0,C57BL/6J-mt<A/J>/NaJ,C57BL/6J-mtA/J/NaJ ,MGI:3575520,5545,0.02,96%,0%,4%,0.0%,0.0%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_D2-SNP11_106_040711,11MA-001.gac,2,M,0,(C57BL/6J x 129S1/SvImJ)F1,B6129SF1/J ,#N/A,101043,0.01,77%,1%,22%,0.0%,0.2%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_D3-SNP11_107_040711,11MA-001.gac,2,M,0,(C57BL/6J x DBA/2J)F1,B6D2F1/J ,#N/A,100006,0.01,77%,1%,21%,0.0%,0.3%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_D4-SNP11_108_040711,11MA-001.gac,2,M,1,DBA/2J,DBA/2J ,MGI:2684695,671,0.01,76%,20%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_A1-SNP11_192_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr 1<MSM/Ms>,129S1/SvImJ-Chr YC57BL/6J/NaJ ,#N/A,5548,0.03,92%,4%,4%,0.3%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_A2-SNP11_193_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr 2C<MSM/Ms>,129S1/SvImJ ,#N/A,2448,0.03,94%,2%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_A3-SNP11_194_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr 2T<MSM/Ms>,129S1/SvImJ-Chr YMOLF/Ei/NaJ ,#N/A,8482,0.03,94%,2%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_A4-SNP11_195_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr 3<MSM/Ms>,B6.D2-(D12Mit232-D12Mit134)/LusJ ,#N/A,5185,0.03,92%,3%,4%,0.2%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_A5-SNP11_196_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr 4<MSM/Ms>,B6.D2-(D12Mit269-D12Mit134)/LusJ ,#N/A,5186,0.03,93%,3%,4%,0.2%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_A6-SNP11_197_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr 5C<MSM/Ms>,B6.D2-(D13Mit198-D13Mit314)/LusJ ,#N/A,5188,0.02,94%,2%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_A7-SNP11_198_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr 5T<MSM/Ms>,B6.D2-(D13Mit79-D13Mit198)/LusJ ,#N/A,5187,0.01,94%,2%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_A8-SNP11_199_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr 6C<MSM/Ms>,B6.D2-(D18Mit33-D18Mit144)/LusJ ,#N/A,5206,0.02,93%,3%,4%,0.2%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_A9-SNP11_200_052311,11MA-001.gac,3,F,0,C57BL/6J-Chr 6T<MSM/Ms>,B6.D2-(D2Mit1-rs3681655)/LusJ ,#N/A,5152,0.03,93%,3%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_A10-SNP11_201_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr 7C<MSM/Ms>,B6.D2-(D3Mit149-rs3726528)/LusJ ,#N/A,5155,0.03,93%,3%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_A11-SNP11_202_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr 7T<MSM/Ms>,B6.D2-(D6Mit149-D6Mit15)/LusJ ,#N/A,5167,0.03,94%,2%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_B1-SNP11_203_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr 8<MSM/Ms>,B6.D2-(D6Mit86-D6Mit198)/LusJ ,#N/A,5166,0.02,93%,2%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_B2-SNP11_204_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr 9<MSM/Ms>,B6.D2-(D8Mit256-D8Mit42)/LusJ ,#N/A,5173,0.02,93%,3%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_B3-SNP11_205_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr 10T<MSM/Ms>,B6.D2-(D8Mit318-D8Mit56)/LusJ ,#N/A,5174,0.02,94%,2%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_B4-SNP11_206_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr 11<MSM/Ms>,B6.D2-(D9Mit329-D9Mit115)/LusJ ,#N/A,5175,0.01,93%,3%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_B5-SNP11_207_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr 12C<MSM/Ms>,B6.D2-(rs3653796-rs3022971)/LusJ ,#N/A,5156,0.02,94%,2%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNP_mDIV_B6-SNP11_208_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr 12T<MSM/Ms>,B6-Chr1-MSM-2,#N/A,#N/A,0.02,95%,1%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SNP_mDIV_B7-SNP11_209_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr 13C<MSM/Ms>,B6-Chr2C-MSM-4,#N/A,#N/A,0.03,94%,2%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SNP_mDIV_B8-SNP11_210_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr 13T<MSM/Ms>,B6-Chr2T-MSM-6,#N/A,#N/A,0.02,95%,1%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SNP_mDIV_B9-SNP11_211_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr 14<MSM/Ms>,B6-Chr3-MSM-8,#N/A,#N/A,0.02,94%,2%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SNP_mDIV_B10-SNP11_212_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr 15<MSM/Ms>,B6-Chr4-MSM-10,#N/A,#N/A,0.01,93%,2%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SNP_mDIV_B11-SNP11_213_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr 16<MSM/Ms>,B6-Chr5C-MSM-12,#N/A,#N/A,0.02,94%,2%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SNP_mDIV_C1-SNP11_214_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr 17<MSM/Ms>,B6-Chr5T-MSM-14,MGI:3818170,#N/A,0.03,94%,2%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SNP_mDIV_C2-SNP11_215_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr 18<MSM/Ms>,B6-Chr6C-MSM-16,#N/A,#N/A,0.03,94%,2%,4%,0.2%,0.0%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SNP_mDIV_C3-SNP11_216_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr 19<MSM/Ms>,B6-Chr6T-MSM-17,#N/A,#N/A,0.03,94%,2%,4%,0.1%,0.0%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SNP_mDIV_C4-SNP11_217_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr XC<MSM/Ms>,B6-Chr7C-MSM-20,#N/A,#N/A,0.03,96%,0%,4%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SNP_mDIV_C5-SNP11_218_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr XT<MSM/Ms>,B6-Chr7T-MSM-22,#N/A,#N/A,0.03,96%,0%,4%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SNP_mDIV_C6-SNP11_219_052311,11MA-001.gac,3,M,0,C57BL/6J-Chr Y<MSM/Ms>,B6-Chr8-MSM-24,#N/A,#N/A,0.02,96%,0%,4%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SNP_mDIV_C7-SNP11_220_052311,11MA-001.gac,3,M,0,C57BL/6J-mt<MSM/Ms>,B6-Chr9-MSM-26,#N/A,#N/A,0.01,96%,0%,4%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SNP_mDIV_C8-SNP11_221_052311,11MA-001.gac,3,M,1,129P2/OlaHsd,B6-Chr10T-MSM-28,MGI:2164147,#N/A,0.01,75%,21%,4%,0.2%,0.1%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SNP_mDIV_C9-SNP11_109_052311,11MA-001.gac,3,M,0,129S1/SvImJ-Chr Y<C57BL/6J>/NaJ,B6-Chr11-MSM-30,MGI:3575522,#N/A,0.02,75%,20%,4%,0.2%,0.1%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SNP_mDIV_C10-SNP11_110_052311,11MA-001.gac,3,M,1,129S1/SvImJ,B6-Chr12C-MSM-32,MGI:3037980,#N/A,0.01,75%,20%,4%,0.2%,0.1%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SNP_mDIV_C11-SNP11_111_052311,11MA-001.gac,3,M,0,129S1/SvImJ-Chr Y<MOLF/Ei>/NaJ,B6-Chr12T-MSM-34,MGI:3793312,#N/A,0.03,75%,20%,4%,0.2%,0.1%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SNP_mDIV_C12-SNP11_112_052311,11MA-001.gac,3,M,0,B6.D2-(D12Mit232-D12Mit134)/LusJ,B6-Chr13C-MSM-36,MGI:3047113,#N/A,0.03,95%,1%,4%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SNP_mDIV_D1-SNP11_113_052311,11MA-001.gac,3,M,0,B6.D2-(D12Mit269-D12Mit134)/LusJ,B6-Chr13T-MSM-38,MGI:3047271,#N/A,0.02,95%,1%,4%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SNP_mDIV_D2-SNP11_114_052311,11MA-001.gac,3,M,0,B6.D2-(D13Mit198-D13Mit314)/LusJ,B6-Chr14-MSM-40,MGI:3047278,#N/A,0.01,95%,1%,4%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SNP_mDIV_D3-SNP11_115_052311,11MA-001.gac,3,M,0,B6.D2-(D13Mit79-D13Mit198)/LusJ,B6-Chr15-MSM-42,MGI:3047276,#N/A,0.01,96%,1%,4%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
